stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,0,0,2,,,,,left,1,0.803789138794,emo_stroop,3TBquTDOD5,2960 * 1050,None,brice-book,2019-04-25 14.53.58,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,1,1,3,,,,,right,1,0.665830135345,emo_stroop,3TBquTDOD5,2960 * 1050,None,brice-book,2019-04-25 14.53.58,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,2,2,1,,,,,right,1,0.507457017899,emo_stroop,3TBquTDOD5,2960 * 1050,None,brice-book,2019-04-25 14.53.58,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,3,3,0,,,,,left,1,0.654167890549,emo_stroop,3TBquTDOD5,2960 * 1050,None,brice-book,2019-04-25 14.53.58,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Joie,cong,0.5,right,,,,,0,0,0,9,right,1,0.548423051834,emo_stroop,3TBquTDOD5,2960 * 1050,None,brice-book,2019-04-25 14.53.58,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,1,1,26,left,1,0.662091970444,emo_stroop,3TBquTDOD5,2960 * 1050,None,brice-book,2019-04-25 14.53.58,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,2,2,33,right,1,0.562680006027,emo_stroop,3TBquTDOD5,2960 * 1050,None,brice-book,2019-04-25 14.53.58,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Colère,incong,-0.5,right,,,,,0,3,3,37,left,0,0.547932863235,emo_stroop,3TBquTDOD5,2960 * 1050,None,brice-book,2019-04-25 14.53.58,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Joie,incong,-0.5,left,,,,,0,4,4,28,left,1,0.570420026779,emo_stroop,3TBquTDOD5,2960 * 1050,None,brice-book,2019-04-25 14.53.58,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,5,5,10,left,1,0.588721036911,emo_stroop,3TBquTDOD5,2960 * 1050,None,brice-book,2019-04-25 14.53.58,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Joie,cong,0.5,right,,,,,0,6,6,5,right,1,0.525192022324,emo_stroop,3TBquTDOD5,2960 * 1050,None,brice-book,2019-04-25 14.53.58,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
