stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,0,0,3,,,,,right,1,0.95147356129,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,1,1,0,,,,,left,1,0.467760291338,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,2,2,2,,,,,left,1,0.467661047049,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,3,3,1,,,,,right,1,0.517742931317,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Joie,cong,0.5,right,,,,,0,0,0,15,right,1,0.651301630605,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,1,1,11,right,1,0.5012130373,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,2,2,26,left,1,0.384540089282,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Joie,cong,0.5,right,,,,,0,3,3,7,right,1,0.484484345527,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Colère,cong,0.5,left,,,,,0,4,4,12,left,1,0.451123732895,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Joie,incong,-0.5,left,,,,,0,5,5,30,left,1,0.551244526492,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Colère,cong,0.5,left,,,,,0,6,6,16,left,1,0.718111588301,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Joie,incong,-0.5,left,,,,,0,7,7,20,left,1,0.534535003399,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Joie,incong,-0.5,left,,,,,0,8,8,32,left,1,0.58445302638,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,9,9,27,right,1,0.617962041688,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,10,10,23,right,1,0.500843576467,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Colère,incong,-0.5,right,,,,,0,11,11,35,right,1,0.601080928,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,12,12,10,left,1,0.667976217233,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,13,13,17,left,0,0.717760986978,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Joie,cong,0.5,right,,,,,0,14,14,9,right,1,0.417841340844,emo_stroop,3gF77o8Cxq,1920 * 1080,59.930831431,LPNC-LA562,2019-02-20 11.09.21,Windows-7-6.1.7601-SP1,
