stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,0,0,1,,,,,right,1,0.666413068771,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,1,1,2,,,,,left,1,0.478168010712,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,2,2,0,,,,,left,1,0.644401073456,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,3,3,3,,,,,right,1,0.503891944885,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Colère,incong,-0.5,right,,,,,0,0,0,21,right,1,0.602369070053,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Colère,cong,0.5,left,,,,,0,1,1,16,left,1,0.520409107208,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Joie,incong,-0.5,left,,,,,0,2,2,32,left,1,0.455024957657,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Joie,incong,-0.5,left,,,,,0,3,3,22,left,1,0.575096845627,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,4,4,26,left,1,0.505419015884,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Joie,incong,-0.5,left,,,,,0,5,5,30,left,1,0.505177974701,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,6,6,11,right,1,0.485256910324,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Joie,incong,-0.5,left,,,,,0,7,7,38,left,1,0.452883005142,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Joie,cong,0.5,right,,,,,0,8,8,9,right,1,0.51026391983,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Colère,incong,-0.5,right,,,,,0,9,9,37,left,0,0.483364105225,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,10,10,29,right,1,0.52712392807,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,11,11,36,left,1,0.42653799057,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,12,12,23,right,1,0.56854391098,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,13,13,13,left,0,0.429349899292,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Joie,cong,0.5,right,,,,,0,14,14,15,right,1,0.405003070831,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Joie,incong,-0.5,left,,,,,0,15,15,20,left,1,0.671878099442,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Colère,cong,0.5,left,,,,,0,16,16,12,left,1,0.613366127014,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,17,17,6,left,1,0.490170001984,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Joie,cong,0.5,right,,,,,0,18,18,7,right,1,0.488242149353,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,19,19,10,left,1,0.58483505249,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,20,20,14,left,1,0.677786111832,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Colère,cong,0.5,left,,,,,0,21,21,18,left,1,0.557361841202,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,22,22,27,right,1,0.499890089035,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,23,23,39,left,0,0.450129985809,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Joie,cong,0.5,right,,,,,0,24,24,5,right,1,0.556753873825,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Colère,cong,0.5,left,,,,,0,25,25,0,left,1,0.59529209137,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Joie,cong,0.5,right,,,,,0,26,26,19,left,0,0.452353954315,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,27,27,1,right,1,0.40739107132,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Colère,incong,-0.5,right,,,,,0,28,28,35,right,1,0.543558835983,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Joie,incong,-0.5,left,,,,,0,29,29,34,left,1,0.680875062943,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Joie,cong,0.5,right,,,,,0,30,30,3,right,1,0.464967012405,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Colère,incong,-0.5,right,,,,,0,31,31,25,right,1,0.482176065445,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,32,32,33,right,1,0.467813014984,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,33,33,8,left,1,0.493817090988,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Joie,incong,-0.5,left,,,,,0,34,34,28,left,1,0.582164049149,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Colère,incong,-0.5,right,,,,,0,35,35,31,right,1,0.41154718399,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Colère,cong,0.5,left,,,,,0,36,36,4,left,1,0.621906995773,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,37,37,24,left,1,0.537124872208,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,38,38,17,right,1,0.3610060215,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Colère,cong,0.5,left,,,,,0,39,39,2,left,1,0.645117044449,emo_stroop,5vtkG9DmFg,1680 * 1850,None,brice-book,2019-03-02 17.05.33,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
