stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,0,0,0,,,,,left,1,0.633673906326,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,1,1,2,,,,,left,1,0.502667188644,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,2,2,3,,,,,right,1,0.418483018875,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,3,3,1,,,,,right,1,0.400683879852,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Joie,incong,-0.5,left,,,,,0,0,0,28,left,1,0.519644975662,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Joie,cong,0.5,right,,,,,0,1,1,5,right,1,0.469581127167,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,2,2,36,left,1,0.485823154449,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Joie,cong,0.5,right,,,,,0,3,3,7,right,1,0.502315998077,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Colère,incong,-0.5,right,,,,,0,4,4,25,right,1,0.486665964127,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Colère,cong,0.5,left,,,,,0,5,5,0,left,1,0.43586397171,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,6,6,11,right,1,0.386547088623,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Joie,incong,-0.5,left,,,,,0,7,7,38,left,1,0.469615936279,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Colère,incong,-0.5,right,,,,,0,8,8,31,right,1,0.369221925735,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,9,9,33,right,1,0.43496799469,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Joie,incong,-0.5,left,,,,,0,10,10,34,left,1,0.535010099411,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Colère,incong,-0.5,right,,,,,0,11,11,35,right,1,0.400533914566,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,12,12,8,left,1,0.5365691185,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Colère,cong,0.5,left,,,,,0,13,13,16,left,1,0.602939844131,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,14,14,1,right,1,0.451683998108,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,15,15,13,right,1,0.41711306572,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Colère,cong,0.5,left,,,,,0,16,16,12,left,1,0.469367980957,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Colère,cong,0.5,left,,,,,0,17,17,18,left,1,0.502465009689,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,18,18,17,right,1,0.452620983124,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Joie,cong,0.5,right,,,,,0,19,19,3,right,1,0.40282702446,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,20,20,24,right,0,0.50337600708,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,21,21,26,left,1,0.586291074753,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Colère,incong,-0.5,right,,,,,0,22,22,21,right,1,0.419413089752,emo_stroop,7dmeNDhF9g,1440.0 * 900.0,59.97646301791013,MacBook-Pro-de-Bret.local,2019-03-02 19.42.08,Darwin-18.2.0-x86_64-i386-64bit,
