stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,0,0,3,,,,,left,0,1.220744133,emo_stroop,8cRE3ko23l,1440.0 * 900.0,60.00992939257585,eduroam-110101.grenet.fr,2019-03-04 11.23.43,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,1,1,0,,,,,left,1,2.152987957,emo_stroop,8cRE3ko23l,1440.0 * 900.0,60.00992939257585,eduroam-110101.grenet.fr,2019-03-04 11.23.43,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,2,2,1,,,,,right,1,0.819578886032,emo_stroop,8cRE3ko23l,1440.0 * 900.0,60.00992939257585,eduroam-110101.grenet.fr,2019-03-04 11.23.43,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,3,3,2,,,,,left,1,1.41951107979,emo_stroop,8cRE3ko23l,1440.0 * 900.0,60.00992939257585,eduroam-110101.grenet.fr,2019-03-04 11.23.43,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,0,0,27,right,1,1.21880507469,emo_stroop,8cRE3ko23l,1440.0 * 900.0,60.00992939257585,eduroam-110101.grenet.fr,2019-03-04 11.23.43,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,1,1,24,left,1,1.93603682518,emo_stroop,8cRE3ko23l,1440.0 * 900.0,60.00992939257585,eduroam-110101.grenet.fr,2019-03-04 11.23.43,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,2,2,29,right,1,1.51872301102,emo_stroop,8cRE3ko23l,1440.0 * 900.0,60.00992939257585,eduroam-110101.grenet.fr,2019-03-04 11.23.43,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Joie,incong,-0.5,left,,,,,0,3,3,38,left,1,1.5196390152,emo_stroop,8cRE3ko23l,1440.0 * 900.0,60.00992939257585,eduroam-110101.grenet.fr,2019-03-04 11.23.43,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,4,4,8,left,1,1.95296502113,emo_stroop,8cRE3ko23l,1440.0 * 900.0,60.00992939257585,eduroam-110101.grenet.fr,2019-03-04 11.23.43,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Colère,cong,0.5,left,,,,,0,5,5,16,left,1,1.30063819885,emo_stroop,8cRE3ko23l,1440.0 * 900.0,60.00992939257585,eduroam-110101.grenet.fr,2019-03-04 11.23.43,Darwin-18.2.0-x86_64-i386-64bit,
