stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,0,0,1,,,,,right,1,1.1034040451,emo_stroop,BtPJOXV7Bd,1440.0 * 900.0,60.01499550707135,eduroam-009163.grenet.fr,2019-03-04 14.06.47,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,1,1,3,,,,,right,1,0.703149080276,emo_stroop,BtPJOXV7Bd,1440.0 * 900.0,60.01499550707135,eduroam-009163.grenet.fr,2019-03-04 14.06.47,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,2,2,0,,,,,left,1,0.586146831512,emo_stroop,BtPJOXV7Bd,1440.0 * 900.0,60.01499550707135,eduroam-009163.grenet.fr,2019-03-04 14.06.47,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,3,3,2,,,,,left,1,0.400429010391,emo_stroop,BtPJOXV7Bd,1440.0 * 900.0,60.01499550707135,eduroam-009163.grenet.fr,2019-03-04 14.06.47,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Joie,cong,0.5,right,,,,,0,0,0,19,right,1,0.502123832703,emo_stroop,BtPJOXV7Bd,1440.0 * 900.0,60.01499550707135,eduroam-009163.grenet.fr,2019-03-04 14.06.47,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Joie,cong,0.5,right,,,,,0,1,1,15,right,1,0.46971988678,emo_stroop,BtPJOXV7Bd,1440.0 * 900.0,60.01499550707135,eduroam-009163.grenet.fr,2019-03-04 14.06.47,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,2,2,27,right,1,0.436553955078,emo_stroop,BtPJOXV7Bd,1440.0 * 900.0,60.01499550707135,eduroam-009163.grenet.fr,2019-03-04 14.06.47,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Joie,incong,-0.5,left,,,,,0,3,3,20,right,0,0.485665082932,emo_stroop,BtPJOXV7Bd,1440.0 * 900.0,60.01499550707135,eduroam-009163.grenet.fr,2019-03-04 14.06.47,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,4,4,1,right,1,0.434315919876,emo_stroop,BtPJOXV7Bd,1440.0 * 900.0,60.01499550707135,eduroam-009163.grenet.fr,2019-03-04 14.06.47,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,5,5,39,right,1,0.436305046082,emo_stroop,BtPJOXV7Bd,1440.0 * 900.0,60.01499550707135,eduroam-009163.grenet.fr,2019-03-04 14.06.47,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,6,6,11,right,1,0.535760879517,emo_stroop,BtPJOXV7Bd,1440.0 * 900.0,60.01499550707135,eduroam-009163.grenet.fr,2019-03-04 14.06.47,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Joie,incong,-0.5,left,,,,,0,7,7,22,left,1,0.634073019028,emo_stroop,BtPJOXV7Bd,1440.0 * 900.0,60.01499550707135,eduroam-009163.grenet.fr,2019-03-04 14.06.47,Darwin-18.2.0-x86_64-i386-64bit,
