stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,0,0,3,,,,,left,0,1.176227808,emo_stroop,DY19PaxoNN,1280 * 800,None,brice-book,2019-02-20 11.28.23,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,1,1,1,,,,,right,1,0.814642906189,emo_stroop,DY19PaxoNN,1280 * 800,None,brice-book,2019-02-20 11.28.23,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,2,2,2,,,,,left,1,0.887685060501,emo_stroop,DY19PaxoNN,1280 * 800,None,brice-book,2019-02-20 11.28.23,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,3,3,0,,,,,left,1,0.568668842316,emo_stroop,DY19PaxoNN,1280 * 800,None,brice-book,2019-02-20 11.28.23,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,0,0,8,left,1,0.655818939209,emo_stroop,DY19PaxoNN,1280 * 800,None,brice-book,2019-02-20 11.28.23,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,1,1,23,right,1,0.53963804245,emo_stroop,DY19PaxoNN,1280 * 800,None,brice-book,2019-02-20 11.28.23,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Colère,incong,-0.5,right,,,,,0,2,2,37,left,0,0.624866962433,emo_stroop,DY19PaxoNN,1280 * 800,None,brice-book,2019-02-20 11.28.23,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Joie,incong,-0.5,left,,,,,0,3,3,22,left,1,0.958335161209,emo_stroop,DY19PaxoNN,1280 * 800,None,brice-book,2019-02-20 11.28.23,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,4,4,6,left,1,0.571876049042,emo_stroop,DY19PaxoNN,1280 * 800,None,brice-book,2019-02-20 11.28.23,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Colère,incong,-0.5,right,,,,,0,5,5,25,right,1,1.0822520256,emo_stroop,DY19PaxoNN,1280 * 800,None,brice-book,2019-02-20 11.28.23,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
