stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,0,0,1,,,,,right,1,0.352962017059,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,1,1,0,,,,,left,1,0.317148923874,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,2,2,3,,,,,right,1,0.350609064102,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,3,3,2,,,,,left,1,0.203261137009,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,0,0,17,right,1,0.367207050323,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,1,1,10,left,1,0.452316999435,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Colère,cong,0.5,left,,,,,0,2,2,16,right,0,0.38604092598,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Colère,cong,0.5,left,,,,,0,3,3,4,left,1,0.519665002823,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,4,4,24,right,0,0.502993106842,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,5,5,11,right,1,0.500571966171,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Colère,cong,0.5,left,,,,,0,6,6,2,left,1,0.518396139145,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,7,7,39,right,1,0.836058855057,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Joie,incong,-0.5,left,,,,,0,8,8,34,left,1,0.367210865021,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,9,9,36,left,1,0.533931970596,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,10,10,26,left,1,0.402180194855,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Joie,cong,0.5,right,,,,,0,11,11,7,right,1,0.485856771469,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Joie,incong,-0.5,left,,,,,0,12,12,32,left,1,0.717815160751,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Colère,incong,-0.5,right,,,,,0,13,13,35,right,1,0.450950860977,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Joie,cong,0.5,right,,,,,0,14,14,3,right,1,0.386257886887,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,15,15,33,right,1,0.635880947113,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Colère,cong,0.5,left,,,,,0,16,16,0,left,1,0.80047917366,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,17,17,6,left,1,0.600344181061,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Colère,cong,0.5,left,,,,,0,18,18,18,left,1,0.668600082397,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,19,19,23,right,1,0.517324209213,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Colère,cong,0.5,left,,,,,0,20,20,12,left,1,0.483873128891,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,21,21,8,left,1,0.502363204956,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,22,22,29,left,0,0.519649982452,emo_stroop,ESiFGh46xd,1440.0 * 900.0,59.88774360651149,MacBook-Pro-de-Bret.local,2019-04-25 11.47.01,Darwin-18.5.0-x86_64-i386-64bit,
