stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,0,0,2,,,,,left,1,2.63605880737,emo_stroop,G2V3ysjepk,1440.0 * 900.0,60.37445571205458,eduroam-110016.grenet.fr,2019-04-23 14.33.17,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,1,1,0,,,,,right,0,0.00301289558411,emo_stroop,G2V3ysjepk,1440.0 * 900.0,60.37445571205458,eduroam-110016.grenet.fr,2019-04-23 14.33.17,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,2,2,1,,,,,left,0,0.336192131042,emo_stroop,G2V3ysjepk,1440.0 * 900.0,60.37445571205458,eduroam-110016.grenet.fr,2019-04-23 14.33.17,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,3,3,3,,,,,right,1,0.201863050461,emo_stroop,G2V3ysjepk,1440.0 * 900.0,60.37445571205458,eduroam-110016.grenet.fr,2019-04-23 14.33.17,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,0,0,10,right,0,0.536303043365,emo_stroop,G2V3ysjepk,1440.0 * 900.0,60.37445571205458,eduroam-110016.grenet.fr,2019-04-23 14.33.17,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,1,1,29,right,1,0.535660982132,emo_stroop,G2V3ysjepk,1440.0 * 900.0,60.37445571205458,eduroam-110016.grenet.fr,2019-04-23 14.33.17,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Joie,cong,0.5,right,,,,,0,2,2,19,left,0,0.318834066391,emo_stroop,G2V3ysjepk,1440.0 * 900.0,60.37445571205458,eduroam-110016.grenet.fr,2019-04-23 14.33.17,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,3,3,26,right,0,0.784934997559,emo_stroop,G2V3ysjepk,1440.0 * 900.0,60.37445571205458,eduroam-110016.grenet.fr,2019-04-23 14.33.17,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,4,4,24,right,0,1.26763105392,emo_stroop,G2V3ysjepk,1440.0 * 900.0,60.37445571205458,eduroam-110016.grenet.fr,2019-04-23 14.33.17,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Joie,cong,0.5,right,,,,,0,5,5,7,right,1,1.08572506905,emo_stroop,G2V3ysjepk,1440.0 * 900.0,60.37445571205458,eduroam-110016.grenet.fr,2019-04-23 14.33.17,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Joie,cong,0.5,right,,,,,0,6,6,9,right,1,0.802721977234,emo_stroop,G2V3ysjepk,1440.0 * 900.0,60.37445571205458,eduroam-110016.grenet.fr,2019-04-23 14.33.17,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Joie,incong,-0.5,left,,,,,0,7,7,20,right,0,0.503204107285,emo_stroop,G2V3ysjepk,1440.0 * 900.0,60.37445571205458,eduroam-110016.grenet.fr,2019-04-23 14.33.17,Darwin-18.5.0-x86_64-i386-64bit,
