stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,0,0,1,,,,,right,1,0.518253087997,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,1,1,3,,,,,left,0,0.601263999939,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,2,2,2,,,,,right,0,0.534531116486,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,3,3,0,,,,,left,1,0.553534984589,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Joie,incong,-0.5,left,,,,,0,0,0,22,left,1,0.669512033463,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Colère,cong,0.5,left,,,,,0,1,1,2,left,1,0.602514028549,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Joie,incong,-0.5,left,,,,,0,2,2,32,left,1,0.735570907593,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,3,3,14,left,1,0.683860063553,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Colère,cong,0.5,left,,,,,0,4,4,18,left,1,0.668296098709,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Joie,cong,0.5,right,,,,,0,5,5,15,right,1,0.685969114304,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,6,6,8,left,1,0.503215074539,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,7,7,27,right,1,0.536646842957,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,8,8,6,left,1,0.717190980911,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,9,9,10,left,1,0.569308996201,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Joie,cong,0.5,right,,,,,0,10,10,7,right,1,0.569678068161,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Colère,incong,-0.5,right,,,,,0,11,11,37,left,0,0.550513982773,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,12,12,39,left,0,0.917233943939,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Joie,incong,-0.5,left,,,,,0,13,13,38,right,0,1.16941690445,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,14,14,11,right,1,0.585540771484,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,15,15,24,left,1,0.702257871628,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Joie,incong,-0.5,left,,,,,0,16,16,34,left,1,0.800752878189,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,17,17,36,left,1,0.653334140778,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,18,18,17,left,0,0.686523914337,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Colère,incong,-0.5,right,,,,,0,19,19,35,left,0,0.435822963715,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,20,20,1,right,1,0.600431919098,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Joie,incong,-0.5,left,,,,,0,21,21,30,left,1,0.736247062683,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Joie,cong,0.5,right,,,,,0,22,22,3,right,1,0.469731092453,emo_stroop,IVDbYFMdn1,1440.0 * 900.0,60.14632537463254,MacBook-Pro-de-Bret.local,2019-04-25 12.05.27,Darwin-18.5.0-x86_64-i386-64bit,
