stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,0,0,1,,,,,right,1,0.588694095612,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,1,1,2,,,,,left,1,0.736162900925,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,2,2,0,,,,,left,1,0.503638029099,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,3,3,3,,,,,right,1,0.452282905579,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,0,0,14,left,1,1.05366802216,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Joie,incong,-0.5,left,,,,,0,1,1,38,left,1,0.619723796844,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Joie,cong,0.5,right,,,,,0,2,2,3,right,1,0.402432918549,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Joie,incong,-0.5,left,,,,,0,3,3,32,left,1,0.469717979431,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Joie,cong,0.5,right,,,,,0,4,4,5,right,1,0.451462984085,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,5,5,13,right,1,0.567065000534,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,6,6,1,right,1,0.536287784576,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Joie,cong,0.5,right,,,,,0,7,7,9,right,1,0.483561992645,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,8,8,11,right,1,0.469364881516,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Colère,cong,0.5,left,,,,,0,9,9,12,left,1,0.60401391983,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Joie,incong,-0.5,left,,,,,0,10,10,20,left,1,0.70313000679,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,11,11,6,left,1,0.533028841019,emo_stroop,J3qwumcLo2,1440.0 * 900.0,59.65554760648398,MacBook-Pro-de-Bret.local,2019-03-01 17.14.16,Darwin-18.2.0-x86_64-i386-64bit,
