stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,0,0,2,,,,,left,1,2.85383296013,emo_stroop,K9rjJ1ZKK2,1440.0 * 900.0,59.92111101745643,eduroam-110016.grenet.fr,2019-04-23 15.52.26,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,1,1,3,,,,,right,1,0.700650930405,emo_stroop,K9rjJ1ZKK2,1440.0 * 900.0,59.92111101745643,eduroam-110016.grenet.fr,2019-04-23 15.52.26,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,2,2,0,,,,,left,1,0.550566911697,emo_stroop,K9rjJ1ZKK2,1440.0 * 900.0,59.92111101745643,eduroam-110016.grenet.fr,2019-04-23 15.52.26,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,3,3,1,,,,,right,1,0.935876131058,emo_stroop,K9rjJ1ZKK2,1440.0 * 900.0,59.92111101745643,eduroam-110016.grenet.fr,2019-04-23 15.52.26,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,0,0,29,left,0,0.903128147125,emo_stroop,K9rjJ1ZKK2,1440.0 * 900.0,59.92111101745643,eduroam-110016.grenet.fr,2019-04-23 15.52.26,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Joie,incong,-0.5,left,,,,,0,1,1,22,left,1,0.850437879562,emo_stroop,K9rjJ1ZKK2,1440.0 * 900.0,59.92111101745643,eduroam-110016.grenet.fr,2019-04-23 15.52.26,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Joie,incong,-0.5,left,,,,,0,2,2,38,left,1,1.05222606659,emo_stroop,K9rjJ1ZKK2,1440.0 * 900.0,59.92111101745643,eduroam-110016.grenet.fr,2019-04-23 15.52.26,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Colère,incong,-0.5,right,,,,,0,3,3,31,right,1,0.667105913162,emo_stroop,K9rjJ1ZKK2,1440.0 * 900.0,59.92111101745643,eduroam-110016.grenet.fr,2019-04-23 15.52.26,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,4,4,23,left,0,1.0197429657,emo_stroop,K9rjJ1ZKK2,1440.0 * 900.0,59.92111101745643,eduroam-110016.grenet.fr,2019-04-23 15.52.26,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Colère,cong,0.5,left,,,,,0,5,5,2,left,1,2.58599209785,emo_stroop,K9rjJ1ZKK2,1440.0 * 900.0,59.92111101745643,eduroam-110016.grenet.fr,2019-04-23 15.52.26,Darwin-18.5.0-x86_64-i386-64bit,
