stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,0,0,1,,,,,left,0,2.60407710075,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,1,1,3,,,,,right,1,1.06847500801,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,2,2,0,,,,,left,1,0.418874979019,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,3,3,2,,,,,right,0,0.767168998718,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Joie,incong,-0.5,left,,,,,0,0,0,20,left,1,1.00256800652,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,1,1,24,left,1,1.00202608109,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,2,2,1,right,1,0.569579124451,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Colère,incong,-0.5,right,,,,,0,3,3,31,left,0,0.652913808823,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,4,4,23,left,0,0.653267145157,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,5,5,39,right,1,0.602521181107,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Joie,cong,0.5,right,,,,,0,6,6,19,right,1,0.819381952286,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,7,7,29,right,1,2.35229706764,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Joie,incong,-0.5,left,,,,,0,8,8,30,left,1,1.0205681324,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Joie,incong,-0.5,left,,,,,0,9,9,22,left,1,0.917206048965,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,10,10,14,left,1,0.802322149277,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Joie,incong,-0.5,left,,,,,0,11,11,34,left,1,1.81901597977,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Joie,incong,-0.5,left,,,,,0,12,12,32,left,1,0.650485038757,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Joie,cong,0.5,right,,,,,0,13,13,5,right,1,0.483945846558,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Colère,cong,0.5,left,,,,,0,14,14,18,left,1,0.569038152695,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Colère,incong,-0.5,right,,,,,0,15,15,21,right,1,0.517570018768,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,16,16,26,left,1,0.453439950943,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Joie,cong,0.5,right,,,,,0,17,17,15,right,1,0.652975082397,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Colère,cong,0.5,left,,,,,0,18,18,2,right,0,0.500140190125,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Colère,incong,-0.5,right,,,,,0,19,19,25,left,0,0.735546827316,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Colère,incong,-0.5,right,,,,,0,20,20,35,right,1,0.486138820648,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,21,21,17,right,1,0.62028503418,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,22,22,10,left,1,0.469644069672,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,23,23,27,right,1,0.686766862869,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,24,24,11,right,1,0.485754013062,emo_stroop,LvZBy56yIV,1440.0 * 900.0,59.894585173665995,MacBook-Pro-de-Bret.local,2019-03-02 20.49.06,Darwin-18.2.0-x86_64-i386-64bit,
