stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,0,0,2,,,,,left,1,0.485142946243,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,1,1,0,,,,,left,1,0.601876974106,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,2,2,1,,,,,right,1,0.702213048935,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,3,3,3,,,,,right,1,0.967056035995,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,0,0,23,right,1,0.386165142059,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Joie,incong,-0.5,left,,,,,0,1,1,20,left,1,0.47051692009,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Colère,incong,-0.5,right,,,,,0,2,2,37,right,1,0.668054819107,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Joie,incong,-0.5,left,,,,,0,3,3,22,left,1,0.55295085907,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,4,4,27,right,1,0.519148111343,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Colère,cong,0.5,left,,,,,0,5,5,16,left,1,0.40292596817,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Colère,cong,0.5,left,,,,,0,6,6,18,left,1,0.802583932877,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,7,7,14,left,1,0.753033876419,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Joie,cong,0.5,right,,,,,0,8,8,5,right,1,0.519587993622,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Joie,incong,-0.5,left,,,,,0,9,9,34,left,1,0.485348939896,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,10,10,8,left,1,0.669550895691,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,11,11,17,right,1,0.569068908691,emo_stroop,OyRrXu9VsU,1440.0 * 900.0,60.01825888117131,MacBook-Pro-de-Bret.local,2019-04-25 11.58.53,Darwin-18.5.0-x86_64-i386-64bit,
