stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,0,0,3,,,,,right,1,0.823995828629,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,1,1,0,,,,,left,1,1.25512003899,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,2,2,2,,,,,left,1,0.690011024475,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,3,3,1,,,,,right,1,0.679462909698,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,0,0,10,left,1,0.920571804047,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,1,1,29,right,1,0.521780967712,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,2,2,23,right,1,0.525250196457,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,3,3,36,left,1,0.571905136108,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,4,4,26,left,1,0.657899856567,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Joie,incong,-0.5,left,,,,,0,5,5,38,left,1,0.610131978989,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Joie,cong,0.5,right,,,,,0,6,6,5,right,1,0.571815013885,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Colère,incong,-0.5,right,,,,,0,7,7,31,right,1,0.547475099564,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Colère,cong,0.5,left,,,,,0,8,8,16,left,1,0.609618186951,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Joie,cong,0.5,right,,,,,0,9,9,3,right,1,0.535381793976,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Joie,incong,-0.5,left,,,,,0,10,10,22,left,1,0.876144170761,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,11,11,13,right,1,0.411630868912,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Colère,incong,-0.5,right,,,,,0,12,12,37,right,1,0.608922958374,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,13,13,1,right,1,0.565973997116,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Colère,cong,0.5,left,,,,,0,14,14,18,right,0,0.716093063354,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Colère,cong,0.5,left,,,,,0,15,15,0,left,1,0.585113048553,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,16,16,33,right,1,0.581413030624,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,17,17,27,right,1,0.614167928696,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Joie,incong,-0.5,left,,,,,0,18,18,28,left,1,0.640687942505,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Joie,cong,0.5,right,,,,,0,19,19,7,right,1,0.521084785461,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,20,20,39,left,0,0.734982013702,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,21,21,8,left,1,0.599902868271,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Joie,cong,0.5,right,,,,,0,22,22,15,right,1,0.574019908905,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Joie,incong,-0.5,left,,,,,0,23,23,30,left,1,1.08605003357,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,24,24,14,left,1,0.68411397934,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,25,25,11,right,1,0.447302818298,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Joie,cong,0.5,right,,,,,0,26,26,19,right,1,0.505576133728,emo_stroop,V37iMLU0LC,2960 * 1050,None,brice-book,2019-04-24 20.07.25,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
