stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,0,0,1,,,,,right,1,1.48712301254,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,1,1,0,,,,,left,1,0.749919891357,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,2,2,2,,,,,left,1,1.01982903481,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,3,3,3,,,,,right,1,0.568651199341,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Joie,cong,0.5,right,,,,,0,0,0,19,right,1,1.03641104698,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,1,1,36,left,1,0.518682003021,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Colère,cong,0.5,left,,,,,0,2,2,2,left,1,0.635333061218,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Joie,cong,0.5,right,,,,,0,3,3,3,right,1,0.603557109833,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Joie,incong,-0.5,left,,,,,0,4,4,20,left,1,0.652632951736,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,5,5,13,right,1,0.618606090546,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,6,6,39,left,0,0.535933971405,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,7,7,33,right,1,0.852789878845,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,8,8,27,right,1,0.834095001221,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Joie,incong,-0.5,left,,,,,0,9,9,32,left,1,0.700580120087,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,10,10,10,left,1,0.719427108765,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,11,11,6,left,1,0.952902793884,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Colère,cong,0.5,left,,,,,0,12,12,4,left,1,0.669828891754,emo_stroop,WyoIz8PF6t,1440.0 * 900.0,60.22759613962485,eduroam-110101.grenet.fr,2019-03-04 11.16.57,Darwin-18.2.0-x86_64-i386-64bit,
