stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,0,0,0,,,,,left,1,0.742197990417,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,1,1,1,,,,,right,1,0.659773111343,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,2,2,2,,,,,left,1,0.604140996933,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,3,3,3,,,,,right,1,0.5673828125,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Colère,cong,0.5,left,,,,,0,0,0,12,left,1,0.748440980911,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,1,1,8,left,1,0.650190830231,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,2,2,11,right,1,0.529361009598,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Colère,cong,0.5,left,,,,,0,3,3,0,left,1,0.590208053589,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Colère,incong,-0.5,right,,,,,0,4,4,25,right,1,0.571373939514,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Joie,incong,-0.5,left,,,,,0,5,5,34,left,1,0.542731046677,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,6,6,27,right,1,0.430525064468,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,7,7,36,left,1,0.562132120132,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,8,8,33,right,1,0.37854886055,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Joie,cong,0.5,right,,,,,0,9,9,19,right,1,0.530230998993,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,10,10,1,right,1,0.539904117584,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Joie,cong,0.5,right,,,,,0,11,11,3,right,1,0.507524013519,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Joie,cong,0.5,right,,,,,0,12,12,9,right,1,0.534843921661,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,13,13,14,left,1,0.527641057968,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Colère,incong,-0.5,right,,,,,0,14,14,31,right,1,0.440915107727,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,15,15,13,right,1,0.459540128708,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,16,16,29,right,1,0.580456972122,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,17,17,24,left,1,0.633069038391,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,18,18,17,right,1,0.427839040756,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Joie,incong,-0.5,left,,,,,0,19,19,38,left,1,0.545922994614,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Joie,incong,-0.5,left,,,,,0,20,20,32,left,1,0.573653936386,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Colère,incong,-0.5,right,,,,,0,21,21,37,right,1,0.497368812561,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Joie,incong,-0.5,left,,,,,0,22,22,30,left,1,0.834109067917,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,23,23,26,left,1,0.520983934402,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Colère,cong,0.5,left,,,,,0,24,24,2,left,1,0.509775876999,emo_stroop,aNnkeTFmZj,2960 * 1050,None,brice-book,2019-04-24 11.56.29,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
