stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,0,0,3,,,,,right,1,1.4535150528,emo_stroop,bBJXPpFDNI,1440.0 * 900.0,59.866971927080066,eduroam-110101.grenet.fr,2019-03-04 11.35.21,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,1,1,0,,,,,left,1,0.886836051941,emo_stroop,bBJXPpFDNI,1440.0 * 900.0,59.866971927080066,eduroam-110101.grenet.fr,2019-03-04 11.35.21,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,2,2,1,,,,,right,1,1.3528110981,emo_stroop,bBJXPpFDNI,1440.0 * 900.0,59.866971927080066,eduroam-110101.grenet.fr,2019-03-04 11.35.21,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,3,3,2,,,,,left,1,0.651930093765,emo_stroop,bBJXPpFDNI,1440.0 * 900.0,59.866971927080066,eduroam-110101.grenet.fr,2019-03-04 11.35.21,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,0,0,11,right,1,0.536499023438,emo_stroop,bBJXPpFDNI,1440.0 * 900.0,59.866971927080066,eduroam-110101.grenet.fr,2019-03-04 11.35.21,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,1,1,36,left,1,0.55214214325,emo_stroop,bBJXPpFDNI,1440.0 * 900.0,59.866971927080066,eduroam-110101.grenet.fr,2019-03-04 11.35.21,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Joie,incong,-0.5,left,,,,,0,2,2,30,right,0,0.502600908279,emo_stroop,bBJXPpFDNI,1440.0 * 900.0,59.866971927080066,eduroam-110101.grenet.fr,2019-03-04 11.35.21,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,3,3,13,right,1,0.819479942322,emo_stroop,bBJXPpFDNI,1440.0 * 900.0,59.866971927080066,eduroam-110101.grenet.fr,2019-03-04 11.35.21,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,4,4,8,left,1,0.418603897095,emo_stroop,bBJXPpFDNI,1440.0 * 900.0,59.866971927080066,eduroam-110101.grenet.fr,2019-03-04 11.35.21,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Colère,incong,-0.5,right,,,,,0,5,5,21,right,1,0.469288110733,emo_stroop,bBJXPpFDNI,1440.0 * 900.0,59.866971927080066,eduroam-110101.grenet.fr,2019-03-04 11.35.21,Darwin-18.2.0-x86_64-i386-64bit,
