stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,0,0,1,,,,,right,1,0.601190374973,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,1,1,3,,,,,right,1,0.551180218665,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,2,2,2,,,,,left,1,0.417642852262,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,3,3,0,,,,,left,1,0.46713483589,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Joie,cong,0.5,right,,,,,0,0,0,3,right,1,0.484458375058,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,1,1,36,left,1,0.451029435362,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Colère,cong,0.5,left,,,,,0,2,2,18,left,1,0.384412710318,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Colère,incong,-0.5,right,,,,,0,3,3,37,right,1,0.415785654593,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,4,4,13,right,1,0.450984605386,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,5,5,14,left,1,0.551162286674,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,6,6,1,right,1,0.517307616799,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,7,7,6,left,1,0.567966725646,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Colère,cong,0.5,left,,,,,0,8,8,0,left,1,0.401265070986,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,9,9,23,right,1,0.584214963752,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Joie,incong,-0.5,left,,,,,0,10,10,34,left,1,0.484557619349,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Colère,incong,-0.5,right,,,,,0,11,11,35,right,1,0.584497547183,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Joie,incong,-0.5,left,,,,,0,12,12,28,left,1,0.450973475185,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Joie,cong,0.5,right,,,,,0,13,13,7,right,1,0.634503993424,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,14,14,17,right,1,0.567853877777,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,15,15,10,left,1,0.4676916551,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Colère,cong,0.5,left,,,,,0,16,16,12,left,1,0.450576807196,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Colère,incong,-0.5,right,,,,,0,17,17,21,right,1,0.467561493586,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Joie,incong,-0.5,left,,,,,0,18,18,38,left,1,0.467879631826,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,19,19,24,left,1,0.434648253193,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,20,20,8,left,1,0.484330686922,emo_stroop,ciwomGivDM,1920 * 1080,59.8913252797,LPNC-LA562,2019-02-20 10.53.05,Windows-7-6.1.7601-SP1,
