stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,0,0,3,,,,,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,1,1,1,,,,,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,2,2,2,,,,,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,3,3,0,,,,,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Joie,incong,-0.5,left,,,,,0,0,0,32,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Joie,cong,0.5,right,,,,,0,1,1,7,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Colère,cong,0.5,left,,,,,0,2,2,2,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Joie,incong,-0.5,left,,,,,0,3,3,22,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Colère,cong,0.5,left,,,,,0,4,4,12,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Joie,incong,-0.5,left,,,,,0,5,5,30,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Colère,cong,0.5,left,,,,,0,6,6,16,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Joie,incong,-0.5,left,,,,,0,7,7,34,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,8,8,33,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Joie,cong,0.5,right,,,,,0,9,9,15,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Colère,incong,-0.5,right,,,,,0,10,10,25,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Colère,incong,-0.5,right,,,,,0,11,11,35,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Joie,incong,-0.5,left,,,,,0,12,12,28,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,13,13,10,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Joie,cong,0.5,right,,,,,0,14,14,9,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Colère,incong,-0.5,right,,,,,0,15,15,21,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Colère,cong,0.5,left,,,,,0,16,16,0,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,17,17,36,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,18,18,14,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Joie,incong,-0.5,left,,,,,0,19,19,20,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Colère,incong,-0.5,right,,,,,0,20,20,31,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Joie,cong,0.5,right,,,,,0,21,21,5,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,22,22,6,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,23,23,27,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,24,24,8,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,25,25,29,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Colère,cong,0.5,left,,,,,0,26,26,18,None,0,,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,27,27,17,left,0,1.0684785603,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,28,28,24,left,1,0.567945701934,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,29,29,1,right,1,0.53437948976,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,30,30,23,left,0,0.50094467579,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Colère,incong,-0.5,right,,,,,0,31,31,37,left,0,0.851473654042,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Joie,cong,0.5,right,,,,,0,32,32,19,right,1,0.46778657098,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Colère,cong,0.5,left,,,,,0,33,33,4,left,1,0.434226851423,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,34,34,11,right,1,0.467957543231,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Joie,cong,0.5,right,,,,,0,35,35,3,right,1,0.601056812564,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Joie,incong,-0.5,left,,,,,0,36,36,38,left,1,0.618011200075,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,37,37,39,right,1,0.818344920594,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,38,38,26,left,1,0.601246335149,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,39,39,13,right,1,0.467290967872,emo_stroop,dqReJKEm1R,1920 * 1080,59.9730584668,LPNC-LA562,2019-02-20 10.57.26,Windows-7-6.1.7601-SP1,
