stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,0,0,2,,,,,left,1,0.886128902435,emo_stroop,hUgp5xhOXg,1680 * 1850,None,brice-book,2019-03-02 19.22.48,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,1,1,3,,,,,right,1,0.540400028229,emo_stroop,hUgp5xhOXg,1680 * 1850,None,brice-book,2019-03-02 19.22.48,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,2,2,0,,,,,left,1,0.50026011467,emo_stroop,hUgp5xhOXg,1680 * 1850,None,brice-book,2019-03-02 19.22.48,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,3,3,1,,,,,right,1,0.373193979263,emo_stroop,hUgp5xhOXg,1680 * 1850,None,brice-book,2019-03-02 19.22.48,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Colère,cong,0.5,left,,,,,0,0,0,18,left,1,0.7521879673,emo_stroop,hUgp5xhOXg,1680 * 1850,None,brice-book,2019-03-02 19.22.48,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,1,1,13,right,1,0.4699010849,emo_stroop,hUgp5xhOXg,1680 * 1850,None,brice-book,2019-03-02 19.22.48,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,2,2,10,left,1,0.565853118896,emo_stroop,hUgp5xhOXg,1680 * 1850,None,brice-book,2019-03-02 19.22.48,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Joie,cong,0.5,right,,,,,0,3,3,5,right,1,0.48539686203,emo_stroop,hUgp5xhOXg,1680 * 1850,None,brice-book,2019-03-02 19.22.48,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,4,4,36,left,1,0.4740421772,emo_stroop,hUgp5xhOXg,1680 * 1850,None,brice-book,2019-03-02 19.22.48,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,5,5,6,left,1,0.492120981216,emo_stroop,hUgp5xhOXg,1680 * 1850,None,brice-book,2019-03-02 19.22.48,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
