stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,0,0,2,,,,,left,1,0.819486856461,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,1,1,0,,,,,left,1,0.402391910553,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,2,2,3,,,,,right,1,0.369825124741,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,3,3,1,,,,,right,1,0.385201931,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Colère,incong,-0.5,right,,,,,0,0,0,31,left,0,0.736073970795,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,1,1,36,left,1,0.752878904343,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,2,2,23,right,1,0.553217887878,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,3,3,39,right,1,0.519533157349,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Colère,cong,0.5,left,,,,,0,4,4,16,left,1,0.519273042679,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,5,5,14,left,1,0.517051935196,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Joie,cong,0.5,right,,,,,0,6,6,15,right,1,0.469310998917,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Joie,cong,0.5,right,,,,,0,7,7,7,right,1,0.449918985367,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Colère,cong,0.5,left,,,,,0,8,8,2,left,1,0.502918958664,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Joie,incong,-0.5,left,,,,,0,9,9,22,left,1,0.453462123871,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,10,10,17,right,1,0.485605955124,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,11,11,1,right,1,0.470520973206,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,12,12,29,right,1,0.552568912506,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Colère,incong,-0.5,right,,,,,0,13,13,21,right,1,0.519412994385,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Colère,cong,0.5,left,,,,,0,14,14,4,left,1,0.436130046844,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Joie,incong,-0.5,left,,,,,0,15,15,30,left,1,0.619405984879,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,16,16,8,left,1,0.635969161987,emo_stroop,hrDnKsCMAX,1440.0 * 900.0,59.94954540841778,eduroam-009163.grenet.fr,2019-03-04 14.31.09,Darwin-18.2.0-x86_64-i386-64bit,
