stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,0,0,2,,,,,left,1,1.26645994186,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,1,1,3,,,,,left,0,0.369208097458,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,2,2,1,,,,,right,1,0.551894903183,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,3,3,0,,,,,left,1,0.586313962936,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,0,0,6,left,1,0.617249965668,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,1,1,17,right,1,0.519268035889,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Joie,incong,-0.5,left,,,,,0,2,2,22,left,1,0.502687215805,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,3,3,13,right,1,0.369947910309,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,4,4,8,left,1,0.386141061783,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Colère,incong,-0.5,right,,,,,0,5,5,37,right,1,0.46747803688,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Joie,cong,0.5,right,,,,,0,6,6,5,right,1,0.500125169754,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Colère,incong,-0.5,right,,,,,0,7,7,25,left,0,0.519310951233,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,8,8,27,right,1,0.403084039688,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Colère,cong,0.5,left,,,,,0,9,9,0,left,1,0.520282030106,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Joie,incong,-0.5,left,,,,,0,10,10,20,left,1,0.550422906876,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Joie,cong,0.5,right,,,,,0,11,11,7,right,1,0.467031002045,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Joie,incong,-0.5,left,,,,,0,12,12,38,left,1,0.517392873764,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,13,13,14,left,1,0.552948951721,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Colère,cong,0.5,left,,,,,0,14,14,2,left,1,0.519651174545,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Joie,incong,-0.5,left,,,,,0,15,15,28,left,1,0.587434053421,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,16,16,29,left,0,0.502708911896,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Joie,incong,-0.5,left,,,,,0,17,17,34,left,1,1.66646504402,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,18,18,36,left,1,0.569926023483,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Joie,cong,0.5,right,,,,,0,19,19,3,right,1,0.519908189774,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Joie,cong,0.5,right,,,,,0,20,20,19,right,1,1.13421988487,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Colère,cong,0.5,left,,,,,0,21,21,4,left,1,0.650584936142,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Colère,cong,0.5,left,,,,,0,22,22,18,left,1,0.536309957504,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Joie,cong,0.5,right,,,,,0,23,23,15,right,1,0.686195850372,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Colère,incong,-0.5,right,,,,,0,24,24,31,left,0,0.636265993118,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,25,25,24,left,1,0.919464111328,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,26,26,1,right,1,0.985806941986,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Joie,incong,-0.5,left,,,,,0,27,27,32,left,1,1.13632488251,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Colère,incong,-0.5,right,,,,,0,28,28,21,right,1,1.65284490585,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,29,29,39,right,1,1.71727800369,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Joie,incong,-0.5,left,,,,,0,30,30,30,left,1,0.567420005798,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Joie,cong,0.5,right,,,,,0,31,31,9,right,1,0.469534158707,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Colère,incong,-0.5,right,,,,,0,32,32,35,right,1,1.25177788734,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,33,33,26,left,1,0.502635955811,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Colère,cong,0.5,left,,,,,0,34,34,16,left,1,0.786004066467,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,35,35,10,left,1,1.15300917625,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,36,36,33,right,1,0.869686841965,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Colère,cong,0.5,left,,,,,0,37,37,12,left,1,0.751795053482,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,38,38,23,left,0,0.903073787689,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,39,39,11,right,1,0.986567020416,emo_stroop,jjr9sEIAAZ,1440.0 * 900.0,59.78036512694212,eduroam-110016.grenet.fr,2019-04-23 14.42.23,Darwin-18.5.0-x86_64-i386-64bit,
