stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,0,0,1,,,,,right,1,1.67079281807,emo_stroop,lOHOEtp5Bi,1440.0 * 900.0,59.86261426807773,MacBook-Pro-de-Bret.local,2019-03-01 20.33.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,1,1,0,,,,,left,1,1.66711688042,emo_stroop,lOHOEtp5Bi,1440.0 * 900.0,59.86261426807773,MacBook-Pro-de-Bret.local,2019-03-01 20.33.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,2,2,2,,,,,right,0,0.617211103439,emo_stroop,lOHOEtp5Bi,1440.0 * 900.0,59.86261426807773,MacBook-Pro-de-Bret.local,2019-03-01 20.33.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,3,3,3,,,,,left,0,1.05310106277,emo_stroop,lOHOEtp5Bi,1440.0 * 900.0,59.86261426807773,MacBook-Pro-de-Bret.local,2019-03-01 20.33.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,0,0,14,left,1,0.552161931992,emo_stroop,lOHOEtp5Bi,1440.0 * 900.0,59.86261426807773,MacBook-Pro-de-Bret.local,2019-03-01 20.33.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,1,1,33,right,1,0.703076839447,emo_stroop,lOHOEtp5Bi,1440.0 * 900.0,59.86261426807773,MacBook-Pro-de-Bret.local,2019-03-01 20.33.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,2,2,39,right,1,0.60298204422,emo_stroop,lOHOEtp5Bi,1440.0 * 900.0,59.86261426807773,MacBook-Pro-de-Bret.local,2019-03-01 20.33.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,3,3,13,right,1,0.469352960587,emo_stroop,lOHOEtp5Bi,1440.0 * 900.0,59.86261426807773,MacBook-Pro-de-Bret.local,2019-03-01 20.33.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,4,4,6,left,1,0.669666051865,emo_stroop,lOHOEtp5Bi,1440.0 * 900.0,59.86261426807773,MacBook-Pro-de-Bret.local,2019-03-01 20.33.06,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,5,5,26,left,1,0.653119087219,emo_stroop,lOHOEtp5Bi,1440.0 * 900.0,59.86261426807773,MacBook-Pro-de-Bret.local,2019-03-01 20.33.06,Darwin-18.2.0-x86_64-i386-64bit,
