stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,0,0,2,,,,,left,1,0.837229967117,emo_stroop,mPd3HWr8nz,1440.0 * 900.0,60.370805907677074,eduroam-110101.grenet.fr,2019-03-05 13.14.11,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,1,1,3,,,,,left,0,0.7530169487,emo_stroop,mPd3HWr8nz,1440.0 * 900.0,60.370805907677074,eduroam-110101.grenet.fr,2019-03-05 13.14.11,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,2,2,0,,,,,left,1,0.553226947784,emo_stroop,mPd3HWr8nz,1440.0 * 900.0,60.370805907677074,eduroam-110101.grenet.fr,2019-03-05 13.14.11,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,3,3,1,,,,,right,1,0.319533109665,emo_stroop,mPd3HWr8nz,1440.0 * 900.0,60.370805907677074,eduroam-110101.grenet.fr,2019-03-05 13.14.11,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Joie,cong,0.5,right,,,,,0,0,0,9,right,1,0.453059196472,emo_stroop,mPd3HWr8nz,1440.0 * 900.0,60.370805907677074,eduroam-110101.grenet.fr,2019-03-05 13.14.11,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Colère,cong,0.5,left,,,,,0,1,1,2,left,1,0.485613822937,emo_stroop,mPd3HWr8nz,1440.0 * 900.0,60.370805907677074,eduroam-110101.grenet.fr,2019-03-05 13.14.11,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,2,2,11,right,1,0.569093942642,emo_stroop,mPd3HWr8nz,1440.0 * 900.0,60.370805907677074,eduroam-110101.grenet.fr,2019-03-05 13.14.11,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Joie,incong,-0.5,left,,,,,0,3,3,32,left,1,0.401813030243,emo_stroop,mPd3HWr8nz,1440.0 * 900.0,60.370805907677074,eduroam-110101.grenet.fr,2019-03-05 13.14.11,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,4,4,6,left,1,0.552828073502,emo_stroop,mPd3HWr8nz,1440.0 * 900.0,60.370805907677074,eduroam-110101.grenet.fr,2019-03-05 13.14.11,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,5,5,33,right,1,0.353101015091,emo_stroop,mPd3HWr8nz,1440.0 * 900.0,60.370805907677074,eduroam-110101.grenet.fr,2019-03-05 13.14.11,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Colère,incong,-0.5,right,,,,,0,6,6,35,left,0,0.586383104324,emo_stroop,mPd3HWr8nz,1440.0 * 900.0,60.370805907677074,eduroam-110101.grenet.fr,2019-03-05 13.14.11,Darwin-18.2.0-x86_64-i386-64bit,
