stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,0,0,3,,,,,right,1,1.46330714226,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,1,1,0,,,,,left,1,0.773090839386,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,2,2,2,,,,,left,1,0.649662971497,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,3,3,1,,,,,right,1,0.666897058487,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Joie,incong,-0.5,left,,,,,0,0,0,34,left,1,0.562314033508,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,1,1,27,right,1,0.475688934326,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Joie,incong,-0.5,left,,,,,0,2,2,20,left,1,0.658519029617,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Joie,incong,-0.5,left,,,,,0,3,3,36,left,1,0.62592291832,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Colère,cong,0.5,left,,,,,0,4,4,2,left,1,0.61744093895,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Colère,cong,0.5,left,,,,,0,5,5,12,left,1,0.51038312912,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Anger-Apex.jpg,M03,Ang,Joie,incong,-0.5,left,,,,,0,6,6,32,left,1,0.468317985535,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Colère,cong,0.5,left,,,,,0,7,7,6,left,1,0.684495925903,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M04-Anger-Apex.jpg,M04,Ang,Colère,cong,0.5,left,,,,,0,8,8,14,left,1,0.536570072174,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Colère,incong,-0.5,right,,,,,0,9,9,37,right,1,0.514495849609,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Anger-Apex.jpg,F02,Ang,Joie,incong,-0.5,left,,,,,0,10,10,22,right,0,0.539792060852,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Joie,cong,0.5,right,,,,,0,11,11,19,right,1,0.593795061111,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Joie,cong,0.5,right,,,,,0,12,12,9,right,1,0.613367080688,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,13,13,24,left,1,0.569948911667,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Colère,cong,0.5,left,,,,,0,14,14,4,left,1,0.578189134598,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,15,15,29,right,1,0.75306892395,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Colère,cong,0.5,left,,,,,0,16,16,10,left,1,0.702433824539,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,17,17,39,right,1,0.601698875427,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Joie,cong,0.5,right,,,,,0,18,18,13,right,1,0.504328012466,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Joie,incong,-0.5,left,,,,,0,19,19,28,left,1,0.52277803421,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Anger-Apex.jpg,M06,Ang,Colère,cong,0.5,left,,,,,0,20,20,16,left,1,0.644094944,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Joie,cong,0.5,right,,,,,0,21,21,3,right,1,0.543069124222,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Joie,cong,0.5,right,,,,,0,22,22,7,right,1,0.496408939362,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,23,23,33,right,1,0.509743928909,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F02-Joy-Apex.jpg,F02,Joy,Colère,incong,-0.5,right,,,,,0,24,24,23,right,1,0.507244110107,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Joie,cong,0.5,right,,,,,0,25,25,11,right,1,0.550184011459,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Colère,cong,0.5,left,,,,,0,26,26,0,left,1,0.643733024597,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Joie,incong,-0.5,left,,,,,0,27,27,38,left,1,0.638401031494,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Anger-Apex.jpg,M02,Ang,Joie,incong,-0.5,left,,,,,0,28,28,30,left,1,0.704028129578,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Colère,incong,-0.5,right,,,,,0,29,29,25,right,1,0.502091884613,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,30,30,17,right,1,0.485495090485,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Colère,incong,-0.5,right,,,,,0,31,31,31,right,1,0.519367933273,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Colère,incong,-0.5,right,,,,,0,32,32,21,right,1,0.597237110138,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Joie,cong,0.5,right,,,,,0,33,33,5,right,1,0.583307981491,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,34,34,26,left,1,0.586632966995,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M04-Joy-Apex.jpg,M04,Joy,Colère,incong,-0.5,right,,,,,0,35,35,35,right,1,0.807844161987,emo_stroop,prU7u3VpTs,2960 * 1050,None,brice-book,2019-04-24 12.28.39,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
