stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,0,0,1,,,,,None,0,,emo_stroop,rqAWyeaNIZ,1440.0 * 900.0,60.114946812017536,eduroam-110101.grenet.fr,2019-03-05 09.25.20,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,1,1,2,,,,,left,1,0.086061000824,emo_stroop,rqAWyeaNIZ,1440.0 * 900.0,60.114946812017536,eduroam-110101.grenet.fr,2019-03-05 09.25.20,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,2,2,3,,,,,right,1,1.25266981125,emo_stroop,rqAWyeaNIZ,1440.0 * 900.0,60.114946812017536,eduroam-110101.grenet.fr,2019-03-05 09.25.20,Darwin-18.2.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,3,3,0,,,,,left,1,0.852041006088,emo_stroop,rqAWyeaNIZ,1440.0 * 900.0,60.114946812017536,eduroam-110101.grenet.fr,2019-03-05 09.25.20,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Colère,cong,0.5,left,,,,,0,0,0,4,left,1,0.719903945923,emo_stroop,rqAWyeaNIZ,1440.0 * 900.0,60.114946812017536,eduroam-110101.grenet.fr,2019-03-05 09.25.20,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,1,1,33,right,1,0.467446088791,emo_stroop,rqAWyeaNIZ,1440.0 * 900.0,60.114946812017536,eduroam-110101.grenet.fr,2019-03-05 09.25.20,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Colère,incong,-0.5,right,,,,,0,2,2,31,right,1,0.62061715126,emo_stroop,rqAWyeaNIZ,1440.0 * 900.0,60.114946812017536,eduroam-110101.grenet.fr,2019-03-05 09.25.20,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F01-Anger-Apex.jpg,F01,Ang,Joie,incong,-0.5,left,,,,,0,3,3,20,left,1,0.418334960938,emo_stroop,rqAWyeaNIZ,1440.0 * 900.0,60.114946812017536,eduroam-110101.grenet.fr,2019-03-05 09.25.20,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,4,4,17,right,1,0.586832046509,emo_stroop,rqAWyeaNIZ,1440.0 * 900.0,60.114946812017536,eduroam-110101.grenet.fr,2019-03-05 09.25.20,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,5,5,29,right,1,0.553020000458,emo_stroop,rqAWyeaNIZ,1440.0 * 900.0,60.114946812017536,eduroam-110101.grenet.fr,2019-03-05 09.25.20,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,6,6,39,right,1,0.485414028168,emo_stroop,rqAWyeaNIZ,1440.0 * 900.0,60.114946812017536,eduroam-110101.grenet.fr,2019-03-05 09.25.20,Darwin-18.2.0-x86_64-i386-64bit,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,7,7,8,left,1,0.586174964905,emo_stroop,rqAWyeaNIZ,1440.0 * 900.0,60.114946812017536,eduroam-110101.grenet.fr,2019-03-05 09.25.20,Darwin-18.2.0-x86_64-i386-64bit,
