stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,0,0,3,,,,,left,0,0.520635128021,emo_stroop,sEq6bJJZyL,1440.0 * 900.0,59.77533854560069,MacBook-Pro-de-Bret.local,2019-04-25 12.27.07,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,1,1,1,,,,,right,1,0.519436836243,emo_stroop,sEq6bJJZyL,1440.0 * 900.0,59.77533854560069,MacBook-Pro-de-Bret.local,2019-04-25 12.27.07,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,2,2,0,,,,,left,1,0.58690404892,emo_stroop,sEq6bJJZyL,1440.0 * 900.0,59.77533854560069,MacBook-Pro-de-Bret.local,2019-04-25 12.27.07,Darwin-18.5.0-x86_64-i386-64bit,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,3,3,2,,,,,left,1,0.452147960663,emo_stroop,sEq6bJJZyL,1440.0 * 900.0,59.77533854560069,MacBook-Pro-de-Bret.local,2019-04-25 12.27.07,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M03-Joy-Apex.jpg,M03,Joy,Colère,incong,-0.5,right,,,,,0,0,0,33,right,1,0.470366954803,emo_stroop,sEq6bJJZyL,1440.0 * 900.0,59.77533854560069,MacBook-Pro-de-Bret.local,2019-04-25 12.27.07,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Joie,cong,0.5,right,,,,,0,1,1,17,right,1,0.635993003845,emo_stroop,sEq6bJJZyL,1440.0 * 900.0,59.77533854560069,MacBook-Pro-de-Bret.local,2019-04-25 12.27.07,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,2,2,26,left,1,0.469971179962,emo_stroop,sEq6bJJZyL,1440.0 * 900.0,59.77533854560069,MacBook-Pro-de-Bret.local,2019-04-25 12.27.07,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Anger-Apex.jpg,M08,Ang,Colère,cong,0.5,left,,,,,0,3,3,18,left,1,0.48611497879,emo_stroop,sEq6bJJZyL,1440.0 * 900.0,59.77533854560069,MacBook-Pro-de-Bret.local,2019-04-25 12.27.07,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/M08-Joy-Apex.jpg,M08,Joy,Colère,incong,-0.5,right,,,,,0,4,4,39,right,1,0.452258825302,emo_stroop,sEq6bJJZyL,1440.0 * 900.0,59.77533854560069,MacBook-Pro-de-Bret.local,2019-04-25 12.27.07,Darwin-18.5.0-x86_64-i386-64bit,
stim/xp/F05-Anger-Apex.jpg,F05,Ang,Colère,cong,0.5,left,,,,,0,5,5,8,left,1,0.468854904175,emo_stroop,sEq6bJJZyL,1440.0 * 900.0,59.77533854560069,MacBook-Pro-de-Bret.local,2019-04-25 12.27.07,Darwin-18.5.0-x86_64-i386-64bit,
