stim,actor,emo,print_word,cong,congr,corr,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,expName,participant,screen,frameRate,session,date,computer,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Colère,incong,-0.5,right,0,0,0,3,,,,,right,1,0.886620998383,emo_stroop,tnVFClLDjy,2960 * 1050,None,brice-book,2019-04-25 15.16.10,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Joie,incong,-0.5,left,0,1,1,2,,,,,left,1,0.47185087204,emo_stroop,tnVFClLDjy,2960 * 1050,None,brice-book,2019-04-25 15.16.10,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Joy-Apex.jpg,M11,Joy,Joie,cong,0.5,right,0,2,2,1,,,,,right,1,0.478524208069,emo_stroop,tnVFClLDjy,2960 * 1050,None,brice-book,2019-04-25 15.16.10,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/training/M11-Anger-Apex.jpg,M11,Ang,Colère,cong,0.5,left,0,3,3,0,,,,,left,1,0.638225078583,emo_stroop,tnVFClLDjy,2960 * 1050,None,brice-book,2019-04-25 15.16.10,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Joy-Apex.jpg,F03,Joy,Colère,incong,-0.5,right,,,,,0,0,0,25,right,1,0.740403175354,emo_stroop,tnVFClLDjy,2960 * 1050,None,brice-book,2019-04-25 15.16.10,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F03-Anger-Apex.jpg,F03,Ang,Joie,incong,-0.5,left,,,,,0,1,1,24,left,1,0.543435811996,emo_stroop,tnVFClLDjy,2960 * 1050,None,brice-book,2019-04-25 15.16.10,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Joy-Apex.jpg,F04,Joy,Colère,incong,-0.5,right,,,,,0,2,2,27,right,1,0.547669172287,emo_stroop,tnVFClLDjy,2960 * 1050,None,brice-book,2019-04-25 15.16.10,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M02-Joy-Apex.jpg,M02,Joy,Colère,incong,-0.5,right,,,,,0,3,3,31,right,1,0.532083034515,emo_stroop,tnVFClLDjy,2960 * 1050,None,brice-book,2019-04-25 15.16.10,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F01-Joy-Apex.jpg,F01,Joy,Joie,cong,0.5,right,,,,,0,4,4,1,right,1,0.455485105515,emo_stroop,tnVFClLDjy,2960 * 1050,None,brice-book,2019-04-25 15.16.10,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F05-Joy-Apex.jpg,F05,Joy,Colère,incong,-0.5,right,,,,,0,5,5,29,right,1,0.491891145706,emo_stroop,tnVFClLDjy,2960 * 1050,None,brice-book,2019-04-25 15.16.10,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/F04-Anger-Apex.jpg,F04,Ang,Joie,incong,-0.5,left,,,,,0,6,6,26,left,1,0.652807950974,emo_stroop,tnVFClLDjy,2960 * 1050,None,brice-book,2019-04-25 15.16.10,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
stim/xp/M06-Joy-Apex.jpg,M06,Joy,Colère,incong,-0.5,right,,,,,0,7,7,37,right,1,0.460290908813,emo_stroop,tnVFClLDjy,2960 * 1050,None,brice-book,2019-04-25 15.16.10,Linux-4.13.0-32-generic-x86_64-with-Ubuntu-18.04-bionic,
